R,G,B
0,0,89
1,2,90
2,4,91
3,6,92
5,8,93
6,10,94
7,12,95
9,14,96
10,16,97
11,18,98
12,20,99
13,22,100
13,23,101
14,25,102
15,27,103
15,28,104
16,30,105
17,32,106
18,34,108
19,37,109
20,39,110
21,41,111
22,43,113
22,45,114
23,47,115
24,50,117
26,52,118
27,55,120
28,57,122
29,60,123
30,62,125
31,65,127
32,67,128
33,70,129
35,72,131
36,74,132
37,77,133
38,79,134
39,82,136
40,84,137
41,86,138
43,88,139
44,90,140
45,92,141
46,94,142
48,96,143
49,98,143
50,99,144
51,101,145
53,103,146
54,105,147
55,107,148
56,109,149
58,111,150
59,113,151
60,115,152
61,116,153
63,119,155
64,121,157
66,123,158
67,125,160
69,127,161
70,129,163
72,131,165
73,134,166
75,136,168
77,138,170
78,140,171
80,143,173
82,145,175
83,147,176
85,149,178
86,152,179
88,154,181
90,156,182
91,158,184
93,160,185
95,162,187
96,164,188
98,166,190
100,168,192
102,170,194
105,173,196
107,176,198
110,178,201
112,181,203
115,184,205
117,186,208
120,189,210
124,192,212
127,194,213
130,197,215
134,199,217
137,202,219
141,205,221
144,207,223
147,210,224
150,211,225
152,213,226
155,214,227
158,216,228
160,217,229
163,219,230
165,220,231
168,222,232
171,223,233
175,225,234
178,227,235
181,228,236
184,230,237
187,231,238
190,233,239
193,235,240
195,236,241
198,237,242
200,238,243
202,240,244
204,241,245
207,242,246
209,243,247
212,244,247
216,245,248
219,246,249
223,247,249
227,248,250
231,249,250
234,250,251
238,251,252
252,245,229
252,244,226
252,243,224
252,242,221
252,241,219
252,240,216
252,238,212
251,235,209
251,233,206
250,231,202
250,228,199
249,225,195
249,223,191
248,220,187
248,217,183
247,214,180
247,211,176
246,208,172
246,205,169
245,201,165
244,198,162
244,195,158
243,192,155
242,188,151
242,185,148
241,183,146
240,180,143
240,178,141
239,175,138
239,172,136
238,170,133
237,167,131
237,164,128
236,162,126
235,159,124
235,156,121
234,153,119
234,151,117
233,148,114
232,145,112
231,142,109
230,138,107
229,135,104
228,132,101
227,128,99
226,125,96
225,122,93
224,118,91
223,115,89
222,113,86
221,111,84
219,109,82
218,106,80
217,104,78
216,102,76
214,100,74
212,97,71
210,94,69
207,91,66
205,88,64
202,85,62
200,82,59
197,79,57
195,76,55
193,73,53
191,71,52
189,68,50
187,65,49
185,63,47
183,60,46
181,57,45
179,55,43
178,53,42
176,51,41
174,49,39
173,48,38
171,46,37
170,44,36
168,42,34
166,40,33
165,39,32
163,37,31
161,35,30
160,33,29
158,31,28
157,29,26
155,27,25
153,24,24
152,23,24
150,22,24
148,22,24
147,21,25
145,20,25
143,19,25
142,18,25
140,17,25
139,17,26
137,16,27
136,16,28
134,15,29
133,15,29
131,14,30
130,14,31
128,13,32
127,13,33
125,13,35
123,13,36
122,13,38
120,14,39
118,14,41
117,14,42
115,14,44
113,14,45
112,14,45
110,14,46
109,14,47
107,14,47
105,14,48
104,14,48
102,14,49
100,15,50
99,15,50
97,16,51
96,16,52
94,17,52
92,17,53
91,18,53
89,18,54
